Customer_ID,Customer_Segment,City
CUST0001,Consumer,Jaipur
CUST0002,Small Business,Kolkata
CUST0003,Corporate,Mumbai
CUST0004,Corporate,Delhi
CUST0005,Consumer,Hyderabad
CUST0006,Consumer,Kolkata
CUST0007,Consumer,Mumbai
CUST0008,Small Business,Delhi
CUST0009,Corporate,Pune
CUST0010,Corporate,Bengaluru
CUST0011,Consumer,Chennai
CUST0012,Small Business,Pune
CUST0013,Small Business,Jaipur
CUST0014,Consumer,Delhi
CUST0015,Consumer,Pune
CUST0016,Consumer,Bengaluru
CUST0017,Consumer,Kolkata
CUST0018,Consumer,Delhi
CUST0019,Consumer,Pune
CUST0020,Consumer,Chennai
CUST0021,Corporate,Chennai
CUST0022,Consumer,Mumbai
CUST0023,Consumer,Pune
CUST0024,Consumer,Hyderabad
CUST0025,Consumer,Pune
CUST0026,Corporate,Kolkata
CUST0027,Consumer,Delhi
CUST0028,Consumer,Delhi
CUST0029,Corporate,Kolkata
CUST0030,Consumer,Pune
CUST0031,Corporate,Kolkata
CUST0032,Consumer,Bengaluru
CUST0033,Consumer,Jaipur
CUST0034,Small Business,Kolkata
CUST0035,Small Business,Chennai
CUST0036,Small Business,Kolkata
CUST0037,Consumer,Delhi
CUST0038,Consumer,Chennai
CUST0039,Corporate,Delhi
CUST0040,Consumer,Mumbai
CUST0041,Consumer,Hyderabad
CUST0042,Consumer,Delhi
CUST0043,Consumer,Chennai
CUST0044,Small Business,Mumbai
CUST0045,Consumer,Delhi
CUST0046,Corporate,Bengaluru
CUST0047,Consumer,Kolkata
CUST0048,Consumer,Hyderabad
CUST0049,Consumer,Delhi
CUST0050,Consumer,Mumbai
CUST0051,Small Business,Bengaluru
CUST0052,Corporate,Pune
CUST0053,Small Business,Mumbai
CUST0054,Small Business,Kolkata
CUST0055,Corporate,Mumbai
CUST0056,Small Business,Bengaluru
CUST0057,Consumer,Mumbai
CUST0058,Consumer,Bengaluru
CUST0059,Consumer,Delhi
CUST0060,Consumer,Jaipur
CUST0061,Consumer,Bengaluru
CUST0062,Consumer,Bengaluru
CUST0063,Small Business,Hyderabad
CUST0064,Consumer,Bengaluru
CUST0065,Consumer,Bengaluru
CUST0066,Consumer,Pune
CUST0067,Consumer,Jaipur
CUST0068,Small Business,Delhi
CUST0069,Consumer,Kolkata
CUST0070,Small Business,Hyderabad
CUST0071,Corporate,Pune
CUST0072,Consumer,Chennai
CUST0073,Consumer,Jaipur
CUST0074,Small Business,Delhi
CUST0075,Corporate,Delhi
CUST0076,Corporate,Chennai
CUST0077,Corporate,Kolkata
CUST0078,Consumer,Bengaluru
CUST0079,Consumer,Pune
CUST0080,Consumer,Mumbai
CUST0081,Small Business,Hyderabad
CUST0082,Corporate,Mumbai
CUST0083,Consumer,Chennai
CUST0084,Consumer,Delhi
CUST0085,Consumer,Kolkata
CUST0086,Consumer,Delhi
CUST0087,Corporate,Hyderabad
CUST0088,Corporate,Delhi
CUST0089,Small Business,Delhi
CUST0090,Consumer,Hyderabad
CUST0091,Consumer,Pune
CUST0092,Corporate,Pune
CUST0093,Corporate,Hyderabad
CUST0094,Corporate,Kolkata
CUST0095,Corporate,Chennai
CUST0096,Consumer,Jaipur
CUST0097,Consumer,Delhi
CUST0098,Consumer,Kolkata
CUST0099,Consumer,Delhi
CUST0100,Consumer,Jaipur
CUST0101,Consumer,Chennai
CUST0102,Corporate,Pune
CUST0103,Consumer,Kolkata
CUST0104,Consumer,Bengaluru
CUST0105,Small Business,Bengaluru
CUST0106,Consumer,Jaipur
CUST0107,Consumer,Bengaluru
CUST0108,Corporate,Pune
CUST0109,Consumer,Jaipur
CUST0110,Consumer,Pune
CUST0111,Consumer,Chennai
CUST0112,Consumer,Delhi
CUST0113,Small Business,Chennai
CUST0114,Small Business,Chennai
CUST0115,Corporate,Pune
CUST0116,Small Business,Jaipur
CUST0117,Small Business,Jaipur
CUST0118,Consumer,Bengaluru
CUST0119,Small Business,Mumbai
CUST0120,Consumer,Delhi
CUST0121,Small Business,Pune
CUST0122,Small Business,Bengaluru
CUST0123,Consumer,Kolkata
CUST0124,Consumer,Mumbai
CUST0125,Consumer,Mumbai
CUST0126,Consumer,Pune
CUST0127,Small Business,Hyderabad
CUST0128,Small Business,Delhi
CUST0129,Consumer,Mumbai
CUST0130,Consumer,Pune
CUST0131,Consumer,Pune
CUST0132,Consumer,Bengaluru
CUST0133,Consumer,Kolkata
CUST0134,Consumer,Hyderabad
CUST0135,Small Business,Delhi
CUST0136,Consumer,Jaipur
CUST0137,Consumer,Chennai
CUST0138,Corporate,Kolkata
CUST0139,Consumer,Kolkata
CUST0140,Small Business,Bengaluru
CUST0141,Small Business,Jaipur
CUST0142,Consumer,Mumbai
CUST0143,Consumer,Mumbai
CUST0144,Consumer,Bengaluru
CUST0145,Consumer,Pune
CUST0146,Consumer,Mumbai
CUST0147,Corporate,Hyderabad
CUST0148,Consumer,Delhi
CUST0149,Consumer,Kolkata
CUST0150,Consumer,Kolkata
CUST0151,Small Business,Hyderabad
CUST0152,Consumer,Jaipur
CUST0153,Consumer,Mumbai
CUST0154,Consumer,Kolkata
CUST0155,Small Business,Chennai
CUST0156,Consumer,Jaipur
CUST0157,Corporate,Delhi
CUST0158,Corporate,Delhi
CUST0159,Consumer,Kolkata
CUST0160,Corporate,Bengaluru
CUST0161,Consumer,Jaipur
CUST0162,Corporate,Kolkata
CUST0163,Corporate,Bengaluru
CUST0164,Consumer,Kolkata
CUST0165,Consumer,Chennai
CUST0166,Small Business,Jaipur
CUST0167,Consumer,Pune
CUST0168,Consumer,Delhi
CUST0169,Consumer,Kolkata
CUST0170,Corporate,Chennai
CUST0171,Corporate,Bengaluru
CUST0172,Consumer,Bengaluru
CUST0173,Consumer,Delhi
CUST0174,Consumer,Hyderabad
CUST0175,Corporate,Kolkata
CUST0176,Consumer,Jaipur
CUST0177,Corporate,Mumbai
CUST0178,Consumer,Bengaluru
CUST0179,Small Business,Jaipur
CUST0180,Consumer,Jaipur
CUST0181,Consumer,Pune
CUST0182,Consumer,Jaipur
CUST0183,Small Business,Jaipur
CUST0184,Small Business,Pune
CUST0185,Consumer,Bengaluru
CUST0186,Corporate,Jaipur
CUST0187,Small Business,Hyderabad
CUST0188,Corporate,Hyderabad
CUST0189,Consumer,Chennai
CUST0190,Consumer,Pune
CUST0191,Consumer,Chennai
CUST0192,Small Business,Pune
CUST0193,Small Business,Kolkata
CUST0194,Corporate,Kolkata
CUST0195,Consumer,Jaipur
CUST0196,Consumer,Mumbai
CUST0197,Corporate,Kolkata
CUST0198,Small Business,Mumbai
CUST0199,Small Business,Kolkata
CUST0200,Corporate,Delhi
CUST0201,Corporate,Kolkata
CUST0202,Consumer,Chennai
CUST0203,Consumer,Bengaluru
CUST0204,Small Business,Jaipur
CUST0205,Corporate,Chennai
CUST0206,Consumer,Bengaluru
CUST0207,Consumer,Hyderabad
CUST0208,Corporate,Chennai
CUST0209,Consumer,Hyderabad
CUST0210,Consumer,Mumbai
CUST0211,Consumer,Mumbai
CUST0212,Corporate,Delhi
CUST0213,Corporate,Kolkata
CUST0214,Consumer,Chennai
CUST0215,Corporate,Hyderabad
CUST0216,Consumer,Bengaluru
CUST0217,Consumer,Mumbai
CUST0218,Corporate,Kolkata
CUST0219,Corporate,Mumbai
CUST0220,Small Business,Bengaluru
CUST0221,Corporate,Kolkata
CUST0222,Corporate,Kolkata
CUST0223,Consumer,Hyderabad
CUST0224,Consumer,Hyderabad
CUST0225,Consumer,Chennai
CUST0226,Consumer,Chennai
CUST0227,Small Business,Pune
CUST0228,Consumer,Jaipur
CUST0229,Small Business,Pune
CUST0230,Corporate,Delhi
CUST0231,Corporate,Mumbai
CUST0232,Consumer,Chennai
CUST0233,Corporate,Hyderabad
CUST0234,Consumer,Bengaluru
CUST0235,Consumer,Hyderabad
CUST0236,Corporate,Mumbai
CUST0237,Consumer,Pune
CUST0238,Consumer,Hyderabad
CUST0239,Corporate,Jaipur
CUST0240,Consumer,Delhi
CUST0241,Small Business,Mumbai
CUST0242,Small Business,Pune
CUST0243,Small Business,Jaipur
CUST0244,Consumer,Bengaluru
CUST0245,Consumer,Pune
CUST0246,Small Business,Kolkata
CUST0247,Consumer,Jaipur
CUST0248,Small Business,Jaipur
CUST0249,Small Business,Delhi
CUST0250,Small Business,Mumbai
CUST0251,Consumer,Bengaluru
CUST0252,Consumer,Delhi
CUST0253,Small Business,Pune
CUST0254,Consumer,Delhi
CUST0255,Consumer,Jaipur
CUST0256,Corporate,Mumbai
CUST0257,Small Business,Chennai
CUST0258,Corporate,Delhi
CUST0259,Corporate,Kolkata
CUST0260,Consumer,Delhi
CUST0261,Corporate,Pune
CUST0262,Small Business,Pune
CUST0263,Consumer,Bengaluru
CUST0264,Consumer,Pune
CUST0265,Small Business,Hyderabad
CUST0266,Corporate,Mumbai
CUST0267,Corporate,Mumbai
CUST0268,Corporate,Chennai
CUST0269,Consumer,Chennai
CUST0270,Consumer,Mumbai
CUST0271,Small Business,Kolkata
CUST0272,Small Business,Chennai
CUST0273,Small Business,Bengaluru
CUST0274,Small Business,Pune
CUST0275,Consumer,Mumbai
CUST0276,Consumer,Jaipur
CUST0277,Corporate,Chennai
CUST0278,Corporate,Mumbai
CUST0279,Corporate,Hyderabad
CUST0280,Corporate,Delhi
CUST0281,Small Business,Pune
CUST0282,Consumer,Mumbai
CUST0283,Consumer,Delhi
CUST0284,Consumer,Chennai
CUST0285,Corporate,Delhi
CUST0286,Consumer,Pune
CUST0287,Consumer,Mumbai
CUST0288,Consumer,Hyderabad
CUST0289,Consumer,Kolkata
CUST0290,Corporate,Chennai
CUST0291,Consumer,Mumbai
CUST0292,Consumer,Pune
CUST0293,Small Business,Chennai
CUST0294,Consumer,Bengaluru
CUST0295,Consumer,Delhi
CUST0296,Consumer,Kolkata
CUST0297,Corporate,Pune
CUST0298,Consumer,Bengaluru
CUST0299,Corporate,Jaipur
CUST0300,Consumer,Mumbai
CUST0301,Consumer,Hyderabad
CUST0302,Consumer,Chennai
CUST0303,Consumer,Delhi
CUST0304,Corporate,Chennai
CUST0305,Corporate,Kolkata
CUST0306,Small Business,Mumbai
CUST0307,Consumer,Chennai
CUST0308,Consumer,Delhi
CUST0309,Corporate,Mumbai
CUST0310,Consumer,Chennai
CUST0311,Consumer,Hyderabad
CUST0312,Consumer,Pune
CUST0313,Consumer,Mumbai
CUST0314,Small Business,Pune
CUST0315,Small Business,Jaipur
CUST0316,Corporate,Mumbai
CUST0317,Consumer,Hyderabad
CUST0318,Consumer,Pune
CUST0319,Consumer,Bengaluru
CUST0320,Consumer,Delhi
CUST0321,Consumer,Bengaluru
CUST0322,Corporate,Chennai
CUST0323,Corporate,Hyderabad
CUST0324,Consumer,Bengaluru
CUST0325,Small Business,Mumbai
CUST0326,Corporate,Chennai
CUST0327,Corporate,Chennai
CUST0328,Corporate,Bengaluru
CUST0329,Consumer,Jaipur
CUST0330,Consumer,Bengaluru
CUST0331,Consumer,Jaipur
CUST0332,Corporate,Hyderabad
CUST0333,Consumer,Delhi
CUST0334,Consumer,Bengaluru
CUST0335,Consumer,Kolkata
CUST0336,Consumer,Jaipur
CUST0337,Small Business,Bengaluru
CUST0338,Corporate,Pune
CUST0339,Consumer,Mumbai
CUST0340,Consumer,Kolkata
CUST0341,Consumer,Kolkata
CUST0342,Consumer,Jaipur
CUST0343,Consumer,Pune
